numeroconfiguraciones,mediaerror,deviacion,5,2,1.5,1,0.5,0.2,0.1,0.01,0
106,0.1660246126,0.0179070812,1,1,1,1,1,0.9711068622,0.0001134267,1.47952706679983E-018,9.18159232401968E-021
107,0.166278887,0.0177912637,1,1,1,1,1,0.9709786179,9.75177981784541E-005,7.88640251721626E-019,4.54706360675282E-021
108,0.1664119777,0.0173909844,1,1,1,1,1,0.9732799111,6.70623665600354E-005,1.19354562974393E-019,5.4042975533252E-022
109,0.1630841096,0.0113204349,1,1,1,1,1,0.9994448915,1.25491958599316E-008,5.73531912746133E-042,2.36617683360238E-047
110,0.1627930018,0.0113241539,1,1,1,1,1,0.9994912301,1.46934941136055E-008,8.63722696345239E-042,3.67444724775987E-047
111,0.1626065647,0.0106756309,1,1,1,1,1,0.9997697082,2.25329568246914E-009,1.17802829302446E-046,1.09151467867025E-052
112,0.1660317228,0.0167920779,1,1,1,1,1,0.9784569895,0.000042066,7.57192150822012E-021,2.35822348709875E-023
113,0.1662047255,0.0164844828,1,1,1,1,1,0.9798239542,0.000029574,1.32280409224127E-021,3.30137135900657E-024
114,0.1663675777,0.0167108055,1,1,1,1,1,0.97792244,3.57052459799976E-005,4.09103900805987E-021,1.19084035183522E-023
115,0.1663442751,0.016694561,1,1,1,1,1,0.9780984148,0.000035337,3.80313622459046E-021,1.09555436245941E-023
116,0.1627750909,0.0094796416,1,1,1,1,1,0.999956963,1.77071189274439E-011,9.82766798270447E-059,2.18840188171923E-066
117,0.1630723436,0.0096375232,1,1,1,1,1,0.9999363577,2.98562382640013E-011,4.15834596276835E-057,1.58684230855283E-064
118,0.1635192132,0.0100402551,1,1,1,1,1,0.9998601728,1.25429421950786E-010,4.43226923292157E-053,6.16776248734366E-060
119,0.1635525667,0.0102270068,1,1,1,1,1,0.9998172668,2.57949810452678E-010,2.95385383512891E-051,7.23863992356493E-058
120,0.163166636,0.0100599476,1,1,1,1,1,0.9998745734,1.70354306963829E-010,1.19959996272985E-052,1.83789285792988E-059
121,0.1631676939,0.010075031,1,1,1,1,1,0.9998718098,1.80840835519865E-010,1.69665450500015E-052,2.72358292826301E-059
122,0.163235497,0.010142348,1,1,1,1,1,0.9998554361,2.26179870580967E-010,7.11894906871637E-052,1.39523586191624E-058
123,0.1631450563,0.0101154099,1,1,1,1,1,0.9998654936,2.15368973214153E-010,4.42562406939159E-052,8.06119640593182E-059
124,0.1633524495,0.0100491776,1,1,1,1,1,0.9998672476,1.44803633368569E-010,7.04090850923453E-053,1.02422634213447E-059
125,0.1631830302,0.0099537684,1,1,1,1,1,0.9998916882,1.09314920463232E-010,9.63299968913998E-054,1.05376912623933E-060
126,0.1632497614,0.0099626817,1,1,1,1,1,0.9998873384,1.0859339729102E-010,1.07449528440369E-053,1.20138359347443E-060
127,0.1634077152,0.010160142,1,1,1,1,1,0.9998418387,2.17628042785607E-010,8.22368764210524E-052,1.67287022994597E-058
128,0.163382941,0.0098525855,1,1,1,1,1,0.9998989961,6.2502272435616E-011,6.02535681566834E-055,4.64415127572255E-062
129,0.1633106882,0.0098800029,1,1,1,1,1,0.9998977905,7.37385767059314E-011,1.32542497401822E-054,1.12656077748734E-061
130,0.1634609062,0.0099616365,1,1,1,1,1,0.9998777633,9.41879178359384E-011,7.55218739185786E-054,8.23932876636198E-061
131,0.1634889477,0.0099590941,1,1,1,1,1,0.999876862,9.14980793846206E-011,6.80338009821999E-054,7.34140737225914E-061
132,0.1635314126,0.0101251576,1,1,1,1,1,0.999841977,1.75256160700761E-010,3.09118306728976E-052,5.58684367637805E-059
