numeroconfiguraciones,mediaerror,deviacion,5,2,1.5,1,0.5,0.2,0.1,0.01,0
112,0.0250894806,0.0029095786,1,1,1,1,1,1,1,1.07348951063449E-007,3.25931498546907E-018
113,0.0255833102,0.0030580181,1,1,1,1,1,1,1,1.73557347202035E-007,2.98092936004617E-017
114,0.0254226279,0.0028756113,1,1,1,1,1,1,1,4.08684499553438E-008,4.75291777790484E-019
115,0.0254092812,0.0028686712,1,1,1,1,1,1,1,0.000000039,4.09111282096261E-019
116,0.0249083978,0.0026819882,1,1,1,1,1,1,1,1.3588697998005E-008,7.91344753836673E-021
117,0.0250544142,0.0026241465,1,1,1,1,1,1,1,4.82181731689149E-009,6.63400833785874E-022
118,0.0252080209,0.0020621252,1,1,1,1,1,1,1,8.2218222968832E-014,1.1529102595824E-034
119,0.0251858174,0.0026378665,1,1,1,1,1,1,1,4.28475114126514E-009,6.62409353325416E-022
120,0.0253431752,0.0020962567,1,1,1,1,1,1,1,1.24614443736241E-013,5.98402871117827E-034
121,0.0252560691,0.0019500948,1,1,1,1,1,1,1,2.57393899415849E-015,1.15653472530432E-038
122,0.0252144389,0.0019791591,1,1,1,1,1,1,1,7.51216809871327E-015,1.77252644393194E-037
123,0.025576445,0.0020435354,1,1,1,1,1,1,1,1.24594967017069E-014,3.06007048204549E-036
124,0.0255692097,0.002209958,1,1,1,1,1,1,1,9.27140705740061E-013,2.92420646096161E-031
125,0.0255954017,0.0021866,1,1,1,1,1,1,1,4.9366791007024E-013,5.96766271872834E-032
126,0.0254970706,0.0021424424,1,1,1,1,1,1,1,2.35583414772832E-013,5.85134735839838E-033
127,0.0255492206,0.0021362227,1,1,1,1,1,1,1,1.68352751202587E-013,2.87813600217889E-033
128,0.0255910422,0.0023465588,1,1,1,1,1,1,1,1.52418173159852E-011,5.40837719774954E-028
129,0.0256399032,0.002452338,1,1,1,1,1,1,1,8.9972896748262E-011,6.92877023335008E-026
130,0.0255369885,0.0024321014,1,1,1,1,1,1,1,8.38710823157259E-011,4.32043622596592E-026
131,0.0253262691,0.0023028939,1,1,1,1,1,1,1,1.41436762313862E-011,1.96253458304275E-028
132,0.025216396,0.0020942143,1,1,1,1,1,1,1,1.85252517453745E-013,1.08183042589965E-033
133,0.0250482608,0.0021602527,1,1,1,1,1,1,1,1.63071668169104E-012,2.18279115420598E-031
134,0.0248799445,0.0023136477,1,1,1,1,1,1,1,6.3225854322153E-011,2.85094601477123E-027
135,0.0249958954,0.002197311,1,1,1,1,1,1,1,4.40675810783654E-012,2.76367904438546E-030
136,0.0250882973,0.0022645507,1,1,1,1,1,1,1,1.34309850001781E-011,7.95757686205111E-029
137,0.0250216345,0.0023013292,1,1,1,1,1,1,1,3.34665765043799E-011,7.77746637405337E-028
138,0.0251821726,0.0022963407,1,1,1,1,1,1,1,1.90269729081969E-011,2.777384895324E-028
139,0.0250148297,0.0022149122,1,1,1,1,1,1,1,6.05166733877826E-012,7.03876130879294E-030
140,0.0251809445,0.0021362774,1,1,1,1,1,1,1,5.9614468117016E-013,2.26926965598296E-032
141,0.0252185878,0.0021165264,1,1,1,1,1,1,1,3.23102351821308E-013,4.9383849274169E-033
142,0.0247395582,0.0020836836,1,1,1,1,1,1,1,7.53744247895883E-013,8.17566307581385E-033
143,0.0247361421,0.0021091154,1,1,1,1,1,1,1,1.40530250292453E-012,4.56866752219665E-032
144,0.0246208451,0.0022671451,1,1,1,1,1,1,1,5.62909370788159E-011,8.95259955699816E-028
145,0.0245453137,0.0021986151,1,1,1,1,1,1,1,1.84935346925115E-011,3.05918255929775E-029
146,0.0245121869,0.0021511703,1,1,1,1,1,1,1,7.58929853816566E-012,2.21886733124992E-030
147,0.0246410139,0.0021361779,1,1,1,1,1,1,1,3.59476566043689E-012,4.38954120272842E-031
148,0.0246444401,0.0021509779,1,1,1,1,1,1,1,4.93893729023955E-012,1.08050298057549E-030
149,0.024918339,0.0022976265,1,1,1,1,1,1,1,4.20900900573475E-011,1.05027922239191E-027
150,0.0247395534,0.0020378509,1,1,1,1,1,1,1,2.36409266452582E-013,3.24044842013229E-034
151,0.0247525198,0.0020322188,1,1,1,1,1,1,1,1.94525427935474E-013,1.98527564130083E-034
152,0.024741425,0.0020435457,1,1,1,1,1,1,1,2.72356720166091E-013,4.84254603146485E-034
153,0.0247226284,0.0020600292,1,1,1,1,1,1,1,4.44101807977017E-013,1.75289852224247E-033
154,0.0247197366,0.0020700535,1,1,1,1,1,1,1,5.76860037568968E-013,3.59168670865054E-033
155,0.0247021559,0.0020602694,1,1,1,1,1,1,1,4.80304996594437E-013,2.01009769785062E-033
156,0.0247158594,0.0020192984,1,1,1,1,1,1,1,1.57750902550353E-013,9.52214770460734E-035
157,0.0247189546,0.0020167609,1,1,1,1,1,1,1,1.45697766095233E-013,7.72782284508843E-035
158,0.0246458576,0.002202044,1,1,1,1,1,1,1,1.45525827715222E-011,2.2246295191085E-029
159,0.0246266633,0.0021890865,1,1,1,1,1,1,1,1.18150536918276E-011,1.16132314060338E-029
160,0.0243552289,0.0022648395,1,1,1,1,1,1,1,1.16158185530601E-010,2.8489501594123E-027
161,0.0243280999,0.002209032,1,1,1,1,1,1,1,4.40304255747931E-011,1.65375037161653E-028
