numeroconfiguraciones,mediaerror,deviacion,5,2,1.5,1,0.5,0.2,0.1,0.01,0
776,0.1037783287,0.0025327778,1,1,1,1,1,1,0.0678793727,2.19525955488836E-300,0
798,0.1037501067,0.0020873055,1,1,1,1,1,1,0.0361975283,0,0
820,0.1033040284,0.0021660414,1,1,1,1,1,1,0.0635826185,0,0
842,0.1022949086,0.0022979032,1,1,1,1,1,1,0.1589707922,0,0
864,0.1027400728,0.0029610389,1,1,1,1,1,1,0.1773853149,1.24215973466938E-215,4.32549029361655E-264
886,0.1023380082,0.0030798729,1,1,1,1,1,1,0.2238889252,8.65178782417502E-198,2.12223867530466E-242
908,0.102001278,0.0031482891,1,1,1,1,1,1,0.2624952463,5.00276145567542E-188,1.4196485812528E-230
930,0.1024027907,0.0032748404,1,1,1,1,1,1,0.2315620506,1.86245301606268E-175,6.05424696154986E-215
952,0.10144724,0.0021566797,1,1,1,1,1,1,0.2510943256,0,0
974,0.1015424756,0.0021253318,1,1,1,1,1,1,0.2339937033,0,0
996,0.101371287,0.0024814783,1,1,1,1,1,1,0.2902656268,4.21024896171641E-297,0
1018,0.1014872495,0.0024914789,1,1,1,1,1,1,0.2752755791,1.74764116459334E-295,0
1040,0.1007832787,0.0020483491,1,1,1,1,1,1,0.3510841619,0,0
1062,0.1002766905,0.001707381,1,1,1,1,1,1,0.4356310702,0,0
1084,0.1004874131,0.0014932646,1,1,1,1,1,1,0.3720579463,0,0
1106,0.1002323973,0.0016488129,1,1,1,1,1,1,0.4439554102,0,0
1128,0.1001587163,0.0016905527,1,1,1,1,1,1,0.4626005552,0,0
1150,0.0995401043,0.0021391353,1,1,1,1,1,1,0.5851129893,0,0
1172,0.0996162382,0.0017759617,1,1,1,1,1,1,0.5855399431,0,0
1194,0.099620653,0.0017587655,1,1,1,1,1,1,0.5853850569,0,0
1216,0.0995557205,0.0016286988,1,1,1,1,1,1,0.6074895488,0,0
1238,0.0995359028,0.0017401907,1,1,1,1,1,1,0.6051473447,0,0
1260,0.09941098,0.0017849099,1,1,1,1,1,1,0.6292999536,0,0
1282,0.09940831,0.0020075643,1,1,1,1,1,1,0.6159000437,0,0
1304,0.0993123923,0.0014026487,1,1,1,1,1,1,0.6880112062,0,0
1326,0.0993342815,0.0013425365,1,1,1,1,1,1,0.6900055955,0,0
1348,0.0993450693,0.0012436436,1,1,1,1,1,1,0.7007721146,0,0
1370,0.099382499,0.0014043306,1,1,1,1,1,1,0.6699271477,0,0
1392,0.0994303359,0.0014569864,1,1,1,1,1,1,0.6520969223,0,0
1414,0.0992398726,0.0018158437,1,1,1,1,1,1,0.6622488306,0,0
1436,0.0993881825,0.0019654181,1,1,1,1,1,1,0.622210409,0,0
1458,0.0992834867,0.0020004875,1,1,1,1,1,1,0.6398917026,0,0
1480,0.0991799879,0.0020945613,1,1,1,1,1,1,0.6522846322,0,0
1502,0.0988481003,0.0022137859,1,1,1,1,1,1,0.6985832742,0,0
1524,0.0987984523,0.0022419807,1,1,1,1,1,1,0.7039969956,0,0
1546,0.0991224679,0.0020266555,1,1,1,1,1,1,0.6674908613,0,0
1568,0.0989148929,0.0018460446,1,1,1,1,1,1,0.7216671113,0,0
1590,0.0985728363,0.0023221749,1,1,1,1,1,1,0.7305841362,1.28118793292556E-318,0
1612,0.098508039,0.0024298257,1,1,1,1,1,1,0.7303988628,8.35140926417416E-291,0
1634,0.0986367753,0.002348237,1,1,1,1,1,1,0.7192217546,4.3587372106469E-312,0
1656,0.098538975,0.0023060085,1,1,1,1,1,1,0.7368202736,8E-323,0
1678,0.0985891882,0.0019837106,1,1,1,1,1,1,0.7615193502,0,0
